"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Willett Family Estate 4yo Rye","8.84","0.49","8","$$$","Rye-like","","R4","USA","Rye"
"Michter's 10yo Single Barrel Rye","8.83","0.25","7","$$$$$+","Rye-like","","R4","USA","Rye"
"Forty Creek Confederation Oak (Batch A, B)","8.82","0.43","17","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser’s Red Letter","8.78","0.36","13","$$$$","Rye-like","","","Canada","Blend"
"Whistlepig 10yo","8.78","0.42","17","$$$$","Rye-like","","","Canada","Blend"
"Willett Family Estate 25yo Rye","8.78","0.49","3","$$$$$+","Rye-like","","R4","USA","Rye"
"Crown Royal Hand Selected Barrel","8.77","0.29","11","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Port Wood Reserve 2011/2012","8.77","0.25","11","$$$$","Rye-like","","","Canada","Blend"
"High West Double Rye Manhattan Barrel","8.77","0.37","5","$$$","Rye-like","","R4","USA","Rye"
"Forty Creek Heart of Gold","8.76","0.38","10","$$$$","Rye-like","","","Canada","Blend"
"High West Bourye","8.76","0.37","10","$$$$","Rye-like","","R4","USA","Blend"
"Forty Creek Confederation Oak (All Batches)","8.75","0.39","20","$$$","Rye-like","","","Canada","Blend"
"Highwood Ninety Rye 20yo","8.75","0.31","12","$$","Rye-like","","","Canada","Blend"
"Willett Family Estate Rye (all ages)","8.74","0.28","16","$$$$","Rye-like","","R4","USA","Rye"
"Forty Creek Confederation Oak (Batch C, D)","8.73","0.45","4","$$$","Rye-like","","","Canada","Blend"
"Jack Daniel's Single Barrel Rye","8.73","0.22","7","$$$","Rye-like","","R4","USA","Rye"
"Colonel E.H. Taylor Straight Rye","8.72","0.26","10","$$$$","Rye-like","","R4","USA","Rye"
"Pikesville Straight Rye","8.72","0.44","16","$$$$","Rye-like","","R4","USA","Rye"
"Century Reserve 21yo","8.71","0.19","11","$$","Rye-like","","","Canada","Blend"
"High West Double Rye","8.71","0.29","17","$$","Rye-like","","R4","USA","Rye"
"Millstone 100 Rye","8.71","0.30","9","$$$$","Rye-like","","","Netherlands","Rye"
"Crown Royal Noble Collection Wine Barrel Finished","8.70","0.53","6","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Double Barrel Reserve","8.70","0.39","12","$$$","Rye-like","","","Canada","Blend"
"Russell's Reserve 6yo Rye","8.70","0.29","7","$$$","Rye-like","","R4","USA","Rye"
"Gooderham & Worts 17yo Little Trinity Three Grain","8.69","0.37","10","$$$$","Rye-like","","","Canada","Blend"
"Willett Family Estate 3yo Rye","8.69","0.43","9","$$$","Rye-like","","R4","USA","Rye"
"Pike Creek 21yo Speyside Cask Finish","8.68","0.36","9","$$$$","Rye-like","","","Canada","Blend"
"Angel’s Envy Rye (Rum-finished)","8.67","0.52","10","$$$$","Rye-like","","R4","USA","Rye"
"Willett Family Estate 5yo Rye","8.66","0.39","5","$$$$","Rye-like","","R4","USA","Rye"
"Alberta Rye Dark Batch","8.65","0.21","10","$$","Rye-like","","","Canada","Blend"
"FEW Rye Whisky","8.65","0.55","7","$$$$","Rye-like","","R4","USA","Rye"
"Forty Creek Copper Pot Reserve","8.64","0.41","15","$","Rye-like","","","Canada","Blend"
"Michter's Single Barrel Straight Rye","8.63","0.42","12","$$$","Rye-like","","R4","USA","Rye"
"Canadian Club 20yo","8.62","0.26","11","$$$","Rye-like","","","Canada","Blend"
"Crown Royal Monarch 75th Anniversary","8.62","0.47","12","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Evolution","8.62","0.74","9","$$$","Rye-like","","","Canada","Blend"
"Gooderham & Worts Four Grain","8.62","0.28","13","$$","Rye-like","","","Canada","Blend"
"Masterson's Straight Wheat 12yo","8.62","0.25","9","$$$$","Rye-like","","","Canada","Wheat"
"Crown Royal Blender's Select","8.61","0.14","4","$$","Rye-like","","","Canada","Blend"
"Smooth Ambler Old Scout 7yo Rye","8.61","0.38","8","$$$","Rye-like","","R4","USA","Rye"
"Alberta Premium Dark Horse","8.60","0.36","17","$","Rye-like","","","Canada","Blend"
"Jefferson's Straight Rye 10yo","8.60","0.36","7","$$$","Rye-like","","R4","USA","Rye"
"J.P. Wiser’s Canada 2018","8.59","0.41","3","$$","Rye-like","","","Canada","Rye"
"Rittenhouse Rye 100 Proof","8.59","0.22","18","$$","Rye-like","","R4","USA","Rye"
"Masterson's Straight Barley 10yo","8.58","0.60","7","$$$$","Rye-like","","","Canada","Barley"
"High West Double Rye Campfire Barrel","8.57","0.30","5","$$$","Rye-like","","R4","USA","Rye"
"Collingwood 21yo","8.56","0.40","13","$$$","Rye-like","","","Canada","Blend"
"Crown Royal Northern Harvest Rye","8.56","0.33","18","$$","Rye-like","","","Canada","Blend"
"Crown Royal XO","8.56","0.54","8","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser’s 18yo","8.56","0.42","18","$$$","Rye-like","","","Canada","Blend"
"Sazerac Straight Rye","8.56","0.44","15","$$","Rye-like","","R4","USA","Rye"
"Caribou Crossing Single Barrel","8.55","0.37","13","$$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Seasoned Oak","8.55","0.47","6","$$$$","Rye-like","","","Canada","Blend"
"Knob Creek Small Batch Straight Rye Whiskey","8.53","0.38","17","$$$","Rye-like","","R4","USA","Rye"
"Stalk & Barrel Rye","8.53","0.23","5","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Heritage 2017","8.52","0.55","6","$$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Small Batch","8.52","0.27","11","$","Rye-like","","","Canada","Blend"
"Forty Creek Confederation Oak (Batch E, F)","8.51","0.25","5","$$$","Rye-like","","","Canada","Blend"
"Danfield's 21yo","8.50","0.67","13","$$","Rye-like","","","Canada","Blend"
"J.P. Wiser’s One Fifty","8.50","0.41","8","$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Triple Barrel Rye","8.49","0.39","7","$","Rye-like","","","Canada","Blend"
"High West Yippee Ki-Yay","8.48","0.62","9","$$$$","Rye-like","","R4","USA","Rye"
"Willett Family Estate 2yo Rye","8.48","0.3","9","$$$","Rye-like","","R4","USA","Rye"
"Pike Creek 10yo Rum-finished","8.47","0.29","10","$$","Rye-like","","","Canada","Blend"
"Wild Turkey 101 Rye","8.47","0.28","14","$$","Rye-like","","R4","USA","Rye"
"Forty Creek Founder's Reserve","8.46","0.35","6","$$$","Rye-like","","","Canada","Blend"
"George Dickel Rye","8.46","0.37","14","$$","Rye-like","","R4","USA","Rye"
"Jim Beam Pre-Prohibition Rye","8.46","0.37","6","$","Rye-like","","R4","USA","Rye"
"Crown Royal Reserve","8.45","0.65","15","$$$","Rye-like","","","Canada","Blend"
"Prichard’s Rye","8.45","0.29","3","$$$$","Rye-like","","R4","USA","Rye"
"Forty Creek Barrel Select","8.43","0.44","17","$","Rye-like","","","Canada","Blend"
"High West Son of Bourye","8.43","0.40","12","$$$","Rye-like","","R4","USA","Blend"
"J.P. Wiser’s 15yo","8.41","0.21","7","$$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Rye (Cask Strength)","8.41","0.43","9","$$$","Rye-like","","","Canada","Blend"
"Potter's Special Old","8.39","0.46","4","$","Rye-like","","","Canada","Blend"
"Woodford Reserve Straight Rye","8.39","0.32","10","$$","Rye-like","","R4","USA","Rye"
"Crown Royal Noble Collection Cornerstone Blend","8.37","0.68","5","$$$","Rye-like","","","Canada","Blend"
"Canadian Club Reserve 10yo","8.36","0.61","9","$$","Rye-like","","","Canada","Blend"
"Pike Creek 10yo Port-finished","8.35","0.36","13","$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Red Blend","8.35","0.43","5","$$","Rye-like","","","Canada","Blend"
"Centennial 10yo","8.34","0.43","6","$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Double Still Rye","8.33","0.36","8","$","Rye-like","","","Canada","Blend"
"Crown Royal Bourbon Mash (Blender's Mash)","8.32","0.50","4","$$","Rye-like","","","Canada","Blend"
"Forty Creek Three Grain Harmony","8.32","0.51","8","$$$","Rye-like","","","Canada","Blend"
"Bulleit Rye","8.31","0.61","18","$$","Rye-like","","R4","USA","Rye"
"Jack Daniel's Rested Tennessee Rye (Batch 1/2)","8.31","0.48","4","$$$","Rye-like","","R4","USA","Rye"
"Yellow Rose Straight Rye","8.3","0.53","5","$$$","Rye-like","","R4","USA","Rye"
"Crown Royal Limited Edition","8.28","0.20","11","$$","Rye-like","","","Canada","Blend"
"Alberta Springs 10yo","8.27","0.43","9","$","Rye-like","","","Canada","Blend"
"Canadian Club 100% Rye","8.27","0.40","16","$","Rye-like","","","Canada","Rye"
"Willett Family Estate Rye XCF 1.0","8.27","0.48","4","$$$$$","Rye-like","","R4","USA","Rye"
"66 Gilead Crimson Rye","8.25","0.44","7","$$","Rye-like","","","Canada","Blend"
"Pendleton 1910","8.25","0.68","9","$$","Rye-like","","","Canada","Blend"
"Gibson's Bold 8yo","8.23","0.45","5","$","Rye-like","","","Canada","Blend"
"Crown Royal Black","8.20","0.50","16","$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel 11+1 Canadian whisky","8.19","0.41","17","$$","Rye-like","","","Canada","Blend"
"Canadian Club Sherry Cask","8.18","0.64","8","$$","Rye-like","","","Canada","Blend"
"Alberta Premium","8.16","0.66","12","$","Rye-like","","","Canada","Blend"
"Hiram Walker Special Old Rye","8.15","0.35","9","$","Rye-like","","","Canada","Blend"
"Canadian Club Classic 12yo (Small Batch)","8.11","0.45","13","$","Rye-like","","","Canada","Blend"
"Koval Single Barrel Rye","8.11","0.21","5","$$$","Rye-like","","R4","USA","Rye"
"Century Reserve Lot 15/25","8.09","0.95","6","$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Hopped","8.08","0.55","8","$","Rye-like","","","Canada","Blend"
"Canada Gold","8.07","0.70","5","$","Rye-like","","","Canada","Blend"
"Coyote Ugly","8.06","0.53","5","$","Rye-like","","","Canada","Blend"
"Royal Canadian Small Batch","8.06","0.36","13","$$","Rye-like","","","Canada","Blend"
"Canadian Mist Black Diamond","8.05","0.53","6","$","Rye-like","","","Canada","Blend"
"Ezra Brooks Rye","8.05","0.50","3","$","Rye-like","","R4","USA","Rye"
"Wild Turkey 81 Rye","8.05","0.2","7","$$","Rye-like","","R4","USA","Rye"
"Collingwood","8.03","0.31","10","$$","Rye-like","","","Canada","Blend"
"Gibson's Finest Sterling","8.01","0.37","9","$","Rye-like","","","Canada","Blend"
"Canadian Club Reserve 9yo","7.99","0.49","5","$","Rye-like","","","Canada","Blend"
"Templeton Rye","7.99","0.42","7","$$$","Rye-like","","R4","USA","Rye"
"Twelve Barrels","7.99","0.41","5","$$","Rye-like","","","Canada","Blend"
"Jim Beam Rye","7.98","0.60","11","$","Rye-like","","R4","USA","Rye"
"Highwood Ninety 5yo","7.97","0.77","8","$","Rye-like","","","Canada","Blend"
"J.P. Wiser’s Rye","7.97","0.42","9","$","Rye-like","","","Canada","Blend"
"Pendleton (Let'er Buck)","7.97","0.52","14","$$","Rye-like","","","Canada","Blend"
"Stalk & Barrel Blue Blend","7.94","0.62","4","$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Deluxe","7.93","0.67","11","$","Rye-like","","","Canada","Blend"
"Wayne Gretzky No. 99 Red Cask","7.9","0.43","9","$$","Rye-like","","","Canada","Blend"
"Gibson's Finest 12yo","7.85","0.75","12","$","Rye-like","","","Canada","Blend"
"Schenley Golden Wedding","7.81","0.67","10","$","Rye-like","","","Canada","Blend"
"Rich and Rare","7.77","0.62","6","$","Rye-like","","","Canada","Blend"
"Rich and Rare Reserve","7.75","0.54","7","$","Rye-like","","","Canada","Blend"
"Black Velvet 3yo","7.73","0.91","9","$","Rye-like","","","Canada","Blend"
"Old Overholt","7.73","0.56","8","$","Rye-like","","R4","USA","Rye"
"Seagram's VO","7.73","0.67","10","$","Rye-like","","","Canada","Blend"
"Silk Tassel","7.69","0.74","4","$","Rye-like","","","Canada","Blend"
"Canadian Mist","7.60","0.66","11","$","Rye-like","","","Canada","Blend"
"Crown Royal","7.57","0.49","19","$","Rye-like","","","Canada","Blend"
"8 Seconds","7.55","0.42","5","$$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Special Blend","7.40","0.78","6","$","Rye-like","","","Canada","Blend"
"Seagram's Canadian 83","7.34","0.77","7","$","Rye-like","","","Canada","Blend"
"Canadian Club (Premium)","7.30","0.69","19","$","Rye-like","","","Canada","Blend"
"Black Velvet Reserve 8yo","7.21","0.63","3","$","Rye-like","","","Canada","Blend"
"Proof Whisky","7.20","0.80","9","$$","Rye-like","","","Canada","Blend"
"Black Velvet Deluxe","7.12","0.75","8","$","Rye-like","","","Canada","Blend"
"Ellington Reserve 8yo","6.91","1.01","4","$","Rye-like","","","Canada","Blend"
"Willett Family Estate 22yo Bourbon","9.32","0.12","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Parker’s Heritage 2nd 27yo Kentucky Straight Boubon","9.28","0.36","3","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 15yo","9.23","0.24","11","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 20yo","9.23","0.33","14","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"William Larue Weller","9.21","0.23","16","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Parker’s Heritage 7th 10yo Promise of Hope","9.20","0.32","9","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Willett Family Estate 24yo Bourbon","9.19","0.28","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"George T Stagg","9.18","0.25","23","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Elijah Craig 21yo","9.15","0.36","6","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey 15yo American Spirit","9.13","0.31","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Parker’s Heritage 4th 10yo Wheated Mash Bill Bourbon","9.09","0.22","5","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Parker’s Heritage 5th 10yo Cognac Barrel Finished","9.08","0.36","9","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Buffalo Trace Experimental Collection 12yo floor #5 (rye, 2014)","9.06","0.24","5","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Four Roses Small Batch Limited Edition","9.05","0.20","17","$$$$$+","Bourbon-like","","R3","USA","Bourbon"
"Michter's 20yo Single Barrel Bourbon","9.05","0.45","5","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Parker’s Heritage 6th Blend of Mashbills","9.05","0.12","6","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"William Heavenhill BiB","9.04","0.13","5","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Parker’s Heritage 11th 2017 11yo","9.03","0.17","4","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey Master's Keep Decades","9.03","0.17","8","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate 8yo Bourbon","9.03","0.05","3","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate Bourbon (all ages)","8.98","0.26","16","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Blanton's Straight from the Barrel Bourbon","8.95","0.23","11","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Colonel E.H. Taylor Four Grain","8.94","0.33","6","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Willett Family Estate 17yo Bourbon","8.92","0.57","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate 7yo Bourbon","8.92","0.32","3","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Elijah Craig Barrel Proof","8.90","0.22","12","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Heaven Hill Select Stock Barrel","8.90","0.14","3","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Jack Daniel's 150th Anniversary","8.90","0.31","3","$$$","Bourbon-like","","R1","USA","Bourbon"
"Old Rip Van Winkle 10yo","8.89","0.24","11","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Colonel EH Taylor Single Barrel","8.87","0.31","9","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Stagg Jr (batches 3-9)","8.87","0.18","9","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Willett Family Estate 11yo Bourbon","8.87","0.29","6","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Colonel EH Taylor Barrel Proof","8.86","0.19","8","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Eagle Rare 17yo","8.86","0.30","15","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey 17yo Master's Keep","8.86","0.3","10","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey Kentucky Spirit Single Barrel","8.86","0.28","14","$$$","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate 14yo Bourbon","8.85","0.37","4","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Angel's Envy Cask Strength","8.84","0.43","10","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Booker's Small Batch Straight Bourbon","8.84","0.23","21","$$$","Bourbon-like","","R2","USA","Bourbon"
"J.P. Wiser's Last Barrels","8.84","0.33","12","$$$","Bourbon-like","","","Canada","Blend"
"W.L. Weller 12yo","8.84","0.18","17","$$$$$","Bourbon-like","","R0","USA","Bourbon"
"Jefferson's 18yo Presidential Select","8.83","0.46","9","$$$$$+","Bourbon-like","","R3","USA","Bourbon"
"Michter's 10yo Single Barrel Bourbon","8.81","0.30","11","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"Old Forester 1920 Prohibition Style","8.81","0.32","5","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Pappy Van Winkle Family Reserve Bourbon 23yo","8.81","0.44","6","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Smooth Ambler Old Scout Single Barrel Bourbon","8.81","0.22","8","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Willett Family Estate 13yo Bourbon","8.81","0.49","3","$$$$$+","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey 14yo Tradition","8.8","0.27","5","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey Diamond Anniversary","8.79","0.28","7","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Knob Creek Single Barrel Reserve Bourbon","8.78","0.27","14","$$$","Bourbon-like","","R2","USA","Bourbon"
"Baker’s Kentucky Straight Bourbon 7yo","8.77","0.29","21","$$$","Bourbon-like","","R2","USA","Bourbon"
"Old Forester Birthday (2012-2016)","8.77","0.13","12","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Russell's Reserve Single Barrel","8.77","0.23","10","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Henry McKenna 10yo Single Barrel BiB","8.75","0.27","12","$$","Bourbon-like","","R1","USA","Bourbon"
"Jefferson's Ocean Aged at Sea","8.75","0.39","4","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Orphan Barrel Barterhouse Bourbon 20yo","8.74","0.37","14","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Parker’s Heritage 8th 13yo Wheat Whiskey","8.74","0.56","10","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Blanton's Gold Kentucky Straight Bourbon","8.73","0.40","16","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Elmer T. Lee Single Barrel Bourbon","8.73","0.37","16","$$$","Bourbon-like","","R2","USA","Bourbon"
"Maker's Mark Cask Strength","8.72","0.40","15","$$$$","Bourbon-like","","R0","USA","Bourbon"
"Woodford Reserve Double Oaked","8.72","0.27","14","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Yellowstone 2016 Limited Edition","8.72","0.43","3","$$$$$","Bourbon-like","","R3","USA","Bourbon"
"Barton 1792 Full Proof Bourbon","8.71","0.46","7","$$$","Bourbon-like","","R2","USA","Bourbon"
"Elijah Craig 18yo","8.70","0.46","13","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Four Roses Single Barrel Bourbon","8.70","0.31","21","$$$","Bourbon-like","","R3","USA","Bourbon"
"Old Weller Antique 107","8.70","0.34","15","$$","Bourbon-like","","R0","USA","Bourbon"
"Wild Turkey Rare Breed","8.7","0.31","20","$$$","Bourbon-like","","R2","USA","Bourbon"
"Elijah Craig 12yo","8.68","0.27","24","$$","Bourbon-like","","R1","USA","Bourbon"
"Barton 1792 High Rye Bourbon","8.67","0.48","4","$$$","Bourbon-like","","R3","USA","Bourbon"
"Evan Williams Single Barrel","8.67","0.22","18","$$","Bourbon-like","","R1","USA","Bourbon"
"Van Winkle Special Reserve 12yo Lot B","8.67","0.24","9","$$$$$+","Bourbon-like","","R0","USA","Bourbon"
"Barton 1792 Sweet Wheat Bourbon","8.66","0.19","8","$$$$","Bourbon-like","","R0","USA","Bourbon"
"Maker's Mark 46","8.66","0.36","21","$$$","Bourbon-like","","R0","USA","Bourbon"
"Blanton's Single Barrel Bourbon","8.65","0.32","22","$$$","Bourbon-like","","R2","USA","Bourbon"
"Buffalo Trace Experimental Collection 12yo floor #1 (rye, 2014)","8.65","0.14","3","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Jim Beam Single Barrel","8.64","0.19","4","$$","Bourbon-like","","R2","USA","Bourbon"
"Old Grand-Dad Bourbon 114","8.63","0.24","12","$$","Bourbon-like","","R3","USA","Bourbon"
"Willett Pot Still Reserve","8.63","0.51","9","$$$","Bourbon-like","","R2","USA","Bourbon"
"Barton 1792 Single Barrel Bourbon","8.62","0.38","6","$$$","Bourbon-like","","R2","USA","Bourbon"
"Colonel EH Taylor Small Batch (BiB)","8.61","0.27","14","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Eagle Rare 10yo","8.60","0.31","24","$$","Bourbon-like","","R1","USA","Bourbon"
"Knob Creek Small Batch 9yo Bourbon","8.60","0.39","23","$$","Bourbon-like","","R2","USA","Bourbon"
"Corner Creek Reserve Bourbon","8.59","0.35","8","$$","Bourbon-like","","R2","USA","Bourbon"
"Jack Daniel's Master Distiller (all series)","8.59","0.18","5","$$","Bourbon-like","","R1","USA","Bourbon"
"Stranahan's Colorado Whiskey","8.59","0.32","14","$$$$","Bourbon-like","","R0","USA","Bourbon"
"Ezra Brooks 7yo Old Ezra 101","8.57","0.23","4","$$","Bourbon-like","","R1","USA","Bourbon"
"Jefferson's Reserve Very Old Kentucky Straight Bourbon","8.57","0.37","8","$$$","Bourbon-like","","R3","USA","Bourbon"
"Koval Single Barrel Four Grain","8.57","0.23","5","$$$$","Bourbon-like","","R0","USA","Grain"
"Buffalo Trace Bourbon","8.56","0.36","24","$$","Bourbon-like","","R1","USA","Bourbon"
"Bulleit Bourbon Barrel Strength","8.56","0.27","9","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Russell's Reserve Small Batch 10yo Bourbon","8.56","0.34","16","$$","Bourbon-like","","R2","USA","Bourbon"
"Stagg Jr (all batches)","8.55","0.42","19","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Barton 1792 Port Finished Bourbon","8.53","0.17","8","$$$","Bourbon-like","","R2","USA","Bourbon"
"Barton 1792 Small Batch Bourbon","8.53","0.41","19","$$","Bourbon-like","","R2","USA","Bourbon"
"Old Forester Statesman","8.53","0.56","3","$$$","Bourbon-like","","R2","USA","Bourbon"
"Willett Family Estate 9yo Bourbon","8.53","0.36","4","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Ancient Age 10yo Kentucky Straight Bourbon","8.52","0.40","6","$","Bourbon-like","","R2","USA","Bourbon"
"Koval Single Barrel Bourbon","8.52","0.51","8","$$$","Bourbon-like","","R0","USA","Bourbon"
"Parker’s Heritage 9th 8yo Malt Whiskey","8.52","0.50","7","$$$$$","Bourbon-like","","R1","USA","Bourbon"
"Jim Beam 12yo Signature Craft","8.51","0.33","11","$$","Bourbon-like","","R2","USA","Bourbon"
"Four Roses Small Batch Bourbon","8.50","0.40","16","$$","Bourbon-like","","R3","USA","Bourbon"
"Jack Daniel's Single Barrel","8.50","0.35","17","$$$","Bourbon-like","","R1","USA","Bourbon"
"Bulleit 10yo","8.49","0.36","16","$$$","Bourbon-like","","R3","USA","Bourbon"
"Jim Beam Distillers Masterpiece PX Sherry Cask Finish","8.49","0.35","6","$$$$$","Bourbon-like","","R2","USA","Bourbon"
"Jim Beam Bonded","8.47","0.42","11","$$","Bourbon-like","","R2","USA","Bourbon"
"Smooth Ambler Old Scout 7yo Bourbon","8.47","0.34","13","$$$","Bourbon-like","","R3","USA","Bourbon"
"Angel's Envy Bourbon (Port-finished)","8.46","0.43","15","$$$","Bourbon-like","","R2","USA","Bourbon"
"Michter's Small Batch US*1 Bourbon","8.46","0.33","15","$$$","Bourbon-like","","R1","USA","Bourbon"
"Wild Turkey Forgiven","8.46","0.44","9","$$$","Bourbon-like","","R2","USA","Bourbon"
"Bernheim Original Straight Wheat 7yo Small Batch","8.45","0.52","19","$$","Bourbon-like","","R0","USA","Wheat"
"Smooth Ambler Contradiction Bourbon","8.44","0.48","4","$$$$","Bourbon-like","","R2","USA","Bourbon"
"Wild Turkey 101 Bourbon","8.43","0.35","22","$$","Bourbon-like","","R2","USA","Bourbon"
"Elijah Craig Small Batch (NAS)","8.42","0.32","7","$$","Bourbon-like","","R1","USA","Bourbon"
"Michter's Toasted Barrel","8.42","0.14","6","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Jefferson's Ocean","8.40","0.38","7","$$","Bourbon-like","","R3","USA","Bourbon"
"Old Grand-Dad Bourbon 100 BiB","8.40","0.49","11","$$","Bourbon-like","","R3","USA","Bourbon"
"Very Old Barton 6yo BiB","8.4","0.34","5","$$","Bourbon-like","","R2","USA","Bourbon"
"FEW Bourbon","8.39","0.62","11","$$$","Bourbon-like","","R3","USA","Bourbon"
"Old Fitzgerald Kentucky Straight Bourbon","8.39","0.50","6","$$","Bourbon-like","","R0","USA","Bourbon"
"Old Forester Signature (100 Proof)","8.39","0.38","10","$$","Bourbon-like","","R2","USA","Bourbon"
"Very Old Barton 6yo","8.39","0.35","8","$","Bourbon-like","","R2","USA","Bourbon"
"Woodford Reserve Distiller's Select","8.39","0.32","22","$$","Bourbon-like","","R2","USA","Bourbon"
"Smooth Ambler Old Scout 10yo Bourbon","8.38","0.55","4","$$$$","Bourbon-like","","R3","USA","Bourbon"
"Stagg Jr (batches 1-2)","8.38","0.38","15","$$$$","Bourbon-like","","R1","USA","Bourbon"
"Bulleit Bourbon","8.37","0.35","24","$$","Bourbon-like","","R3","USA","Bourbon"
"Heaven Hill 6yo BiB","8.37","0.25","8","$","Bourbon-like","","R1","USA","Bourbon"
"Parker’s Heritage 10th 24yo Kentucky Straight Bourbon","8.36","0.96","7","$$$$$+","Bourbon-like","","R1","USA","Bourbon"
"W.L. Weller Special Reserve","8.36","0.38","13","$","Bourbon-like","","R0","USA","Bourbon"
"Yellowstone 2015 Limited Edition","8.35","0.62","4","$$$$$","Bourbon-like","","R3","USA","Bourbon"
"Larceny Small Batch Bourbon","8.33","0.23","12","$$","Bourbon-like","","R0","USA","Bourbon"
"Old Forester 1870 Original Batch","8.33","0.16","3","$$$","Bourbon-like","","R2","USA","Bourbon"
"Balcones Baby Blue","8.32","0.71","11","$$$$","Bourbon-like","","R0","USA","Whiskey"
"Evan Williams Bottled in Bond (White label)","8.31","0.47","12","$","Bourbon-like","","R1","USA","Bourbon"
"Basil Hayden’s Kentucky Bourbon","8.30","0.37","18","$$$","Bourbon-like","","R3","USA","Bourbon"
"Old Forester 1897 BiB","8.30","0.56","6","$$$","Bourbon-like","","R2","USA","Bourbon"
